Kabupaten/Kota,2019,2020,2021,2022,2023
Aceh Timur,0.297,0.297,0.226,0.069,0.109
Aceh Tengah,0.093,0.093,0.088,0.087,0.078
Pidie,0.089,0.089,0.071,0.048,0.045
Simalungun,0.023,0.023,0.016,0.021,0.013
Langkat,0.183,0.183,0.183,0.153,0.136
Padang Lawas,0.114,0.114,0.058,0.055,0.055
Solok,0.179,0.179,0.177,0.149,0.151
Pasaman,0.2,0.2,0.193,0.179,0.16
Pasaman Barat,0.206,0.206,0.21,0.163,0.167
Kampar,0.053,0.053,0.057,0.052,0.01
Rokan Hulu,0.078,0.078,0.039,0.043,0.047
Kerinci,0.054,0.054,0.042,0.043,0.083
Tanjung Jabung Timur,0.073,0.073,0.071,0.076,0.055
Ogan Komering Ilir,1,0.086,0.085,0.032,0.011
Muara Enim,0.06,0.06,0.075,0.032,0.022
Bengkulu Utara,0.112,0.091,0.089,0.089,0.09
Tanggamus,0.039,0.039,0.06,0.032,0.037
Lampung Tengah,0.063,0.063,0.068,0.063,0.044
Bangka,0.027,0.027,0.02,0.017,0.013
Natuna,0.219,0.217,0.11,0.118,0.118
Lingga,0.05,0.05,0.109,0.138,0.074
Bogor,0.189,0.143,0.085,0.085,0.082
Sukabumi,0.064,0.068,0.069,0.074,0.077
Cianjur,0.115,0.065,0.062,0.043,0.039
Garut,0.056,0.144,0.064,0.071,0.127
Kuningan,0.15,0.15,0.066,0.053,0.066
Cirebon,0.077,0.077,0.118,0.094,0.086
Majalengka,0.052,0.052,0.053,0.035,0.038
Sumedang,0.176,0.176,0.12,0.091,0.082
Indramayu,0.076,0.076,0.066,0.049,0.035
Subang,0.021,0.021,0.026,0.017,0.016
Bandung Barat,0.073,0.141,0.138,0.095,0.081
Cilacap,0.167,0.167,0.049,0.06,0.039
Banyumas,0.197,0.197,0.141,0.118,0.112
Purbalingga,0.196,0.196,0.146,0.148,0.133
Kebumen,0.192,0.192,0.153,0.12,0.101
Wonosobo,0.284,0.284,0.101,0.126,0.16
Klaten,0.114,0.114,0.106,0.089,0.128
Grobogan,0.047,0.1,0.047,0.038,0.064
Blora,0.08,0.08,0.076,0.079,0.068
Pekalongan,0.057,0.057,0.158,0.115,0.104
Pemalang,0.073,0.073,0.061,0.1,0.096
Brebes,0.203,0.203,0.112,0.119,0.105
Kulon Progo,0.126,0.126,0.077,0.103,0.088
Bantul,0.077,0.077,0.077,0.069,0.064
Trenggalek,0.128,0.13,0.114,0.097,0.079
Kediri,0.132,0.132,0.142,0.136,0.102
Malang,0.12,0.121,0.114,0.089,0.078
Jember,0.129,0.129,0.126,0.117,0.071
Bondowoso,0.157,0.157,0.122,0.082,0.077
Probolinggo,0.161,0.161,0.161,0.15,0.149
Nganjuk,0.093,0.093,0.093,0.091,0.071
Bangkalan,0.046,0.046,0.077,0.053,0.03
Sampang,0.086,0.086,0.08,0.058,0.046
